Certaine	Certaine	j	Certain	certain	0
reasons	reasons	n2	reasons	reason	0
to	to	pc-acp	to	to	0
disswade	disswade	vvi	dissuade	dissuade	0
the	the	dt	the	the	0
use	use	n1	use	use	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
trade	trade	n1	trade	trade	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Narve	Narve	vvb	Narve	narve	0
aforesaide	aforesaide	j	aforesaid	aforesaid	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
way	way	n1	way	way	0
through	through	p-acp	through	through	0
Sweden	Sweden	np1	Sweden	Sweden	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
THe	THe	dt	THe	the	0
merchandise	merchandise	n1	merchandise	merchandise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Narve	Narve	vvb	Narve	narve	0
are	are	vbr	are	be	0
grosse	grosse	j	gross	gross	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
viz.	viz.	n1	viz.	viz.	0
flaxe	flaxe	n1	flax	flax	0
,	,	,	,	,	0
hempe	hempe	n1	hemp	hemp	0
,	,	,	,	,	0
waxe	waxe	n1	wax	wax	0
,	,	,	,	,	0
tallow	tallow	n1	tallow	tallow	0
and	and	cc	and	and	0
hides	hides	n2	hides	hide	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
traffique	traffique	vvi	traffic	traffic	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
place	place	n1	place	place	0
standeth	standeth	vvz	stands	stand	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
agreement	agreement	n1	agreement	agreement	0
and	and	cc	and	and	0
liking	liking	n-vvg	liking	like	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
Sweden	Sweden	np1	Sweden	Sweden	0
:	:	:	:	:	0
for	for	p-acp	for	for	0
all	all	d	all	all	0
these	these	d	these	these	0
merchandises	merchandises	n2	merchandises	merchandise	0
that	that	cst	that	that	0
are	are	vbr	are	be	0
brought	brought	vvn	brought	bring	0
thither	thither	av	thither	thither	0
come	come	vvn	come	come	0
from	from	p-acp	from	from	0
Plescove	Plescove	np1	Plescove	Plescove	0
,	,	,	,	,	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Emperours	Emperours	ng1	Emperors	emperor	0
dominions	dominions	n2	dominions	dominion	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
For	For	c-acp	For	for	0
transporting	transporting	vvg	transporting	transport	0
those	those	d	those	those	0
merchandises	merchandises	n2	merchandises	merchandise	0
from	from	p-acp	from	from	0
Narve	Narve	vvi	Narve	narve	0
to	to	p-acp	to	to	0
Stockholm	Stockholm	np1	Stockholm	Stockholm	0
,	,	,	,	,	0
or	or	cc	or	or	0
what	what	r-crq	what	what	0
other	other	j-jn	other	other	0
place	place	n1	place	place	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
thought	thought	vvn	thought	think	0
convenient	convenient	j	convenient	convenient	0
in	in	p-acp	in	in	0
Sweden	Sweden	np1	Sweden	Sweden	0
,	,	,	,	,	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
vessels	vessels	n2	vessels	vessel	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
countries	countries	n2	countries	country	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
wilbe	wilbe	vmb	will	will	0
of	of	pp-f	of	of	0
smal	smal	j	small	small	0
force	force	n1	force	force	0
to	to	pc-acp	to	to	0
resist	resist	vvi	resist	resist	0
Freebooters	Freebooters	n2	Freebooters	freebooter	0
,	,	,	,	,	0
or	or	cc	or	or	0
any	any	d	any	any	0
other	other	n-jn	other	other	0
that	that	cst	that	that	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
quarel	quarel	n1	quarrel	quarrel	0
or	or	cc	or	or	0
offer	offer	vvi	offer	offer	0
violence	violence	n1	violence	violence	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
When	When	c-crq	When	when	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
are	are	vbr	are	be	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
Sweden	Sweden	np1	Sweden	Sweden	0
,	,	,	,	,	0
they	they	pns32	they	they	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
discharged	discharged	vvn	discharged	discharge	0
,	,	,	,	,	0
and	and	cc	and	and	0
new	new	av-j	new	new	0
laden	laden	vvn	laden	lade	0
into	into	p-acp	into	into	0
smaller	smaller	jc	smaller	small	0
vessels	vessels	n2	vessels	vessel	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cary	cary	vvi	carry	carry	0
the	the	dt	the	the	0
same	same	d	same	same	0
by	by	p-acp	by	by	0
river	river	n1	river	river	0
or	or	cc	or	or	0
lake	lake	n1	lake	lake	0
a	a	dt	a	a	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
againe	againe	av	again	again	0
to	to	pc-acp	to	to	0
